INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Midlands Technical College,West Columbia,SC,https://www.midlandstech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10678
Morris College,Sumter,SC,www.morris.edu,NULL,NULL,NULL,NULL,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,21322
Newberry College,Newberry,SC,www.newberry.edu,0.5675,0.567464115,945,20,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,39983
North Greenville University,Tigerville,SC,www.ngu.edu,0.5946,0.594594595,1152,26,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,29053
Orangeburg Calhoun Technical College,Orangeburg,SC,www.octech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13150
Piedmont Technical College,Greenwood,SC,www.ptc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13303
Presbyterian College,Clinton,SC,https://www.presby.edu,0.5372,0.537184595,1090,24,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,46378
University of South Carolina-Aiken,Aiken,SC,web.usca.edu,0.6546,0.654614653,970,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,19759
University of South Carolina-Beaufort,Bluffton,SC,www.uscb.edu,0.5724,0.572446556,933,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,1,1,20389
University of South Carolina-Columbia,Columbia,SC,www.sc.edu/,0.652,0.651527766,1217,27,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,24586
University of South Carolina-Lancaster,Lancaster,SC,usclancaster.sc.edu/,0.6353,0.651527766,875,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16181
University of South Carolina-Salkehatchie,Allendale,SC,uscsalkehatchie.sc.edu/,0.5339,0.533923304,802,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18291
University of South Carolina-Sumter,Sumter,SC,www.uscsumter.edu/,0.5759,0.575868373,917,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16530
University of South Carolina-Union,Union,SC,uscunion.sc.edu/,0.7116,0.711610487,774,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896
Coastal Carolina University,Conway,SC,www.coastal.edu,0.636,0.635988918,996,21,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2,2,1,21781
South Carolina State University,Orangeburg,SC,www.scsu.edu,0.8454,0.845413947,810,17,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,26245
University of South Carolina-Upstate,Spartanburg,SC,www.uscupstate.edu,0.4682,0.468173999,947,20,0,0,0,0,1,0,2,0,1,0,2,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,2,1,1,21759
Sherman College of Straight Chiropractic,Spartanburg,SC,www.sherman.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
